Department,Status,Total,"Last Activity"
"Trash (or tickets without department)","In Queue",429,"643 days 20 hours 49 minutes"
"Trash (or tickets without department)","On hold",5,"643 days 12 hours 00 minutes"
"Trash (or tickets without department)",Reopened,4,"643 days 11 hours 42 minutes"
"Trash (or tickets without department)","Info Given",11,"643 days 20 hours 09 minutes"
"WoT → Вопросы технического характера WoT → Проблемы в работе клиента игры, производительность, критические ошибки","On hold",129,"59 days 18 hours 51 minutes"
"WoT → Вопросы технического характера WoT → Проблемы в работе клиента игры, производительность, критические ошибки","Need info",1025,"42 days 15 hours 13 minutes"
"WoT → Вопросы технического характера WoT → Проблемы в работе клиента игры, производительность, критические ошибки","Info Given",128,"0 days 19 hours 56 minutes"
"WoT → Вопросы технического характера WoT → Проблемы в работе клиента игры, производительность, критические ошибки",Reopened,6,"0 days 17 hours 57 minutes"
"WoT → Вопросы технического характера WoT → Проблемы в работе клиента игры, производительность, критические ошибки","In Queue",6,"0 days 00 hours 45 minutes"
"Project Support Issues → SMS Issues","On hold",48,"44 days 20 hours 39 minutes"
"Project Support Issues → SMS Issues","In Queue",9,"20 days 21 hours 25 minutes"
"Project Support Issues → SMS Issues","Info Given",12,"43 days 15 hours 53 minutes"
"Project Support Issues → SMS Issues",Reopened,4,"22 days 15 hours 18 minutes"
"Project Support Issues → SMS Issues","Need info",32,"5 days 15 hours 42 minutes"
"Project Support Issues → BUGS → Bugs WoT","On hold",10,"42 days 23 hours 17 minutes"
"Project Support Issues → BUGS → Bugs WoT","In Queue",2,"9 days 17 hours 33 minutes"
"Project Support Issues → BUGS → Bugs WoT","Info Given",1,"6 days 17 hours 43 minutes"
"Project Support Issues → BUGS → Bugs Mobile","On hold",11,"212 days 18 hours 41 minutes"
"Project Support Issues → BUGS → Bugs Mobile","Info Given",3,"19 days 17 hours 42 minutes"
"Project Support Issues → BUGS → Bugs Mobile","In Queue",1,"19 days 07 hours 18 minutes"
"WoT → Вопросы по аккаунту WoT → anonymous","Need info",188,"42 days 15 hours 47 minutes"
"WoT → Вопросы по аккаунту WoT → anonymous","In Queue",77,"0 days 11 hours 04 minutes"
"WoT → Вопросы по аккаунту WoT → anonymous","Info Given",4,"0 days 08 hours 52 minutes"
"WoT → Вопросы по аккаунту WoT → anonymous",Reopened,2,"0 days 09 hours 42 minutes"
"WOWS → Вопросы технического характера WoWS → Вопросы установки и обновления","Need info",24,"42 days 11 hours 48 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Геймплей","On hold",40,"40 days 18 hours 34 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Геймплей","Need info",54,"39 days 21 hours 49 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Геймплей","In Queue",43,"0 days 12 hours 55 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Геймплей","Info Given",10,"0 days 12 hours 09 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Геймплей",Reopened,8,"0 days 12 hours 55 minutes"
"WoT → Вопросы технического характера WoT → Звук, голосовая связь, чат","Need info",116,"42 days 15 hours 08 minutes"
"WoT → Вопросы технического характера WoT → Звук, голосовая связь, чат","Info Given",15,"0 days 19 hours 11 minutes"
"WoT → Вопросы по игровому имуществу WoT → Случайно продал технику","Need info",153,"42 days 15 hours 06 minutes"
"WoT → Вопросы по игровому имуществу WoT → Случайно продал технику","In Queue",64,"0 days 12 hours 46 minutes"
"WoT → Вопросы по игровому имуществу WoT → Случайно продал технику","Info Given",13,"0 days 12 hours 38 minutes"
"WoT → Вопросы по игровому имуществу WoT → Случайно продал технику",Reopened,2,"0 days 10 hours 42 minutes"
"Project Support Issues → Global Map & Clans","In Queue",14,"11 days 20 hours 58 minutes"
"Project Support Issues → Global Map & Clans","Info Given",3,"10 days 16 hours 26 minutes"
"Project Support Issues → Global Map & Clans",Reopened,1,"5 days 18 hours 11 minutes"
"WOWS → Вопросы технического характера WoWS → Запуск клиента игры, вылеты на рабочий стол, критические ошибки","Need info",105,"42 days 14 hours 35 minutes"
"WoT → Нарушения Правил игры WoT → WOT Жалобы на нарушения Правил игры","Need info",249,"307 days 23 hours 10 minutes"
"WoT → Нарушения Правил игры WoT → WOT Жалобы на нарушения Правил игры","Info Given",23,"0 days 21 hours 11 minutes"
